id,baseMean,log2FC,lfcSE,stat,pvalue,padj
ENSMUSG00000001288,2734.865965,0.085302123,0.136820354,0.623460764,0.532981778,0.731684598
ENSMUSG00000001289,2580.418032,-0.513374869,0.148815132,-3.449749102,0.000561108,0.015492162
ENSMUSG00000001300,329.1709898,0.586907382,0.284557956,2.062523183,0.039157953,0.17541742
ENSMUSG00000001305,637.0333273,0.205946737,0.124439781,1.654991154,0.097926292,0.294820918
ENSMUSG00000001313,131.2065116,-0.239301646,0.2379053,-1.005869335,0.314478429,0.557790809
ENSMUSG00000001323,507.6810793,-0.049090144,0.152435849,-0.322038051,0.747423868,0.870737846
ENSMUSG00000001333,11.58387979,-0.948142892,0.403944783,-2.347209155,0.018914634,0.118983984
ENSMUSG00000001334,11.4544299,-0.824638465,0.547577973,-1.505974501,0.13207372,0.345859439
ENSMUSG00000001348,635.8401913,-0.66065324,0.368413973,-1.79323611,0.072935178,0.248113499
ENSMUSG00000001349,3.597461553,-0.25458861,1.075026155,-0.236820852,0.812795774,NA
ENSMUSG00000001366,291.4812953,-0.001492747,0.1375526,-0.010852187,0.991341377,0.996581489
ENSMUSG00000001376,955.4908511,-0.261211522,0.168300827,-1.552051325,0.120649943,0.329593046
ENSMUSG00000001379,114.5447216,-0.339609198,0.441234663,-0.769679327,0.441490136,0.665857428
ENSMUSG00000001380,1551.844173,0.174616569,0.08544808,2.043539992,0.040999013,0.17986921
ENSMUSG00000001383,1312.568707,-0.51527321,0.219515653,-2.347318756,0.01890907,0.118983984
ENSMUSG00000001403,1638.758693,0.329365921,0.140520236,2.343903841,0.019083091,0.119668616
ENSMUSG00000001415,2011.551944,-0.043268853,0.066658231,-0.64911492,0.516264099,0.721309689
ENSMUSG00000001416,6682.233928,-0.127022394,0.134404028,-0.945078771,0.344618662,0.583589367
ENSMUSG00000001417,13.51641052,0.022532069,0.694666426,0.032435811,0.974124505,0.989903856
ENSMUSG00000001418,2034.774624,-0.313430352,0.162948181,-1.923497094,0.054417651,0.210311158
ENSMUSG00000001419,2991.424103,0.078560926,0.13801184,0.569233235,0.569197869,0.758211081
ENSMUSG00000001420,24.16270024,-0.659659682,0.865885651,-0.761832329,0.446160083,0.669515401
ENSMUSG00000001424,5208.701491,0.539661213,0.256656387,2.102660371,0.035495469,0.167265791
