id,baseMean,log2FC,lfcSE,stat,pvalue,padj
ENSMUSG00000001444,73.4909705,-0.824368689,0.377903253,-2.18142787,0.029151784,0.145913829
ENSMUSG00000001445,1122.671191,0.06557488,0.086611216,0.75711765,0.448979381,0.670355483
ENSMUSG00000001467,1451.003654,0.954974871,0.483054254,1.97695158,0.048047104,0.193562657
ENSMUSG00000001472,644.4035461,-0.773742229,0.287248461,-2.693634031,0.007067772,0.064634948
ENSMUSG00000001473,3982.879164,0.176238128,0.150833503,1.168428269,0.242634057,0.47570416
ENSMUSG00000001482,797.766301,-0.107397056,0.073135063,-1.468475605,0.141975078,0.354490789
ENSMUSG00000001493,100.1566493,-0.756966619,0.244166277,-3.100209526,0.001933838,0.030077266
ENSMUSG00000001494,0.625300889,1.623084327,1.894924285,0.856543103,0.391697442,NA
ENSMUSG00000001496,2.533660319,0.160791202,1.738338803,0.092497045,0.926303139,NA
ENSMUSG00000001497,370.6373501,0.506145684,0.170648244,2.966017536,0.003016833,0.039127959
ENSMUSG00000001504,684.7978539,-0.609551045,0.227219742,-2.682650016,0.007304138,0.065738305
ENSMUSG00000001506,18973.00724,0.445824107,0.268307044,1.661619094,0.096589173,0.284816165
ENSMUSG00000001507,2489.226374,0.778017788,0.206462982,3.768316149,0.000164352,0.006782276
ENSMUSG00000001508,13.00739624,-1.115262074,0.805371325,-1.384779963,0.166119759,0.386588695
ENSMUSG00000001510,44.0976334,2.052079223,1.61460516,1.270948015,0.203747143,0.431516751
ENSMUSG00000001517,2740.089993,0.623477494,0.158815428,3.92579928,8.64E-05,0.004271379
ENSMUSG00000001518,386.2539503,0.16387244,0.144676644,1.132680683,0.257348373,0.491384432
ENSMUSG00000001520,10.36293926,0.091820515,0.566549226,0.162069792,0.871250894,0.938962113
ENSMUSG00000001521,1490.893279,0.195626798,0.165184653,1.18429161,0.236297649,0.46860369
ENSMUSG00000001524,447.1191524,-0.204019447,0.234294955,-0.870780367,0.383874087,0.615016321
ENSMUSG00000001525,21841.95591,0.113017164,0.158062942,0.715013671,0.474600596,0.691888122
ENSMUSG00000001542,808.7709566,-0.504202252,0.200776536,-2.511260834,0.012030077,0.088419479
ENSMUSG00000001552,616.5310913,-0.597991283,0.618139692,-0.967404764,0.333341729,0.569203853
ENSMUSG00000001555,2876.995687,0.054291484,0.167512091,0.324104866,0.745858643,0.86803211
ENSMUSG00000001558,9.577179954,-0.320593537,0.551487048,-0.581325596,0.561021033,0.753150536
ENSMUSG00000001566,0.044436927,0,4.279685918,0,1,NA
ENSMUSG00000001569,1491.920773,0.238139642,0.137092375,1.737074306,0.082374056,0.261500082
ENSMUSG00000001576,2632.031833,0.380433232,0.202825744,1.875665405,0.060701239,0.218156829
ENSMUSG00000001583,19.62918151,-0.888758374,0.942561375,-0.942918304,0.345722692,0.581229166
ENSMUSG00000001588,515.4634621,-0.977310244,0.270545802,-3.612365208,0.000303417,0.009729351
ENSMUSG00000001604,34.07630105,-0.255633617,0.398050089,-0.642214696,0.520733793,0.72384975
ENSMUSG00000001622,7.278158414,0.753172084,1.058362189,0.711639259,0.47668819,NA
